username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
|2017-03-15 10:08|2|2|"Peugeot DKR : trois voitures aligner sur le Silk Way Rally au mois de juillet http:// bit.ly/2nDFrtl"||||"841939037980090368"|https://twitter.com/turbofr/status/841939037980090368
|2017-03-15 10:02|2|3|"Découvrez la sonorité envoûtante du V12 Ferrari au travers de cette vidéo http:// fb.me/1QAJyjKy6"||||"841937539858612226"|https://twitter.com/turbofr/status/841937539858612226
|2017-03-15 09:48|2|1|"Bugatti et Palmer Johnson dévoilent un yacht inspiré de la Chiron http:// bit.ly/2nDEOA6"||||"841934004282630145"|https://twitter.com/turbofr/status/841934004282630145
|2017-03-15 09:12|5|3|"Essai : Tesla Model X : un essai longue durée, le jeu des 1.000 bornes http:// bit.ly/2nDNZk1"||||"841924946863509504"|https://twitter.com/turbofr/status/841924946863509504
|2017-03-15 08:45|4|1|"Des voitures de plus en plus sures http:// fb.me/5Ha14P15C"||||"841918159720460290"|https://twitter.com/turbofr/status/841918159720460290
|2017-03-14 21:45|3|5|"Tous les concepts du Salon de Genève sont sur Turbo http:// fb.me/19sY0fsH6"||||"841752184584830976"|https://twitter.com/turbofr/status/841752184584830976
|2017-03-14 20:05|2|1|"GRAND CONCOURS : 15 GPS Garmin à gagner avec Roady ! http:// fb.me/1R0cYFQjt"||||"841727117570236416"|https://twitter.com/turbofr/status/841727117570236416
|2017-03-14 18:45|5|4|"Genève : des pneus connectés et intelligents. A lire sur Clubic http:// fb.me/11JvzTHEp"||||"841706869542572033"|https://twitter.com/turbofr/status/841706869542572033
|2017-03-14 18:40|2|3|"Volvo : retour sur 90 années de voitures suédoises en vidéo http:// bit.ly/2nBinvg"||||"841705506993520640"|https://twitter.com/turbofr/status/841705506993520640
|2017-03-14 17:14|2|1|"Sécurité : en 2017, déjà trois modèles sous les 4 étoiles aux tests Euro NCAP http:// bit.ly/2mJhzag"||||"841683852938620929"|https://twitter.com/turbofr/status/841683852938620929
|2017-03-14 16:34|5|6|"En France, les avertisseurs de radar sont plus populaires que jamais ! http:// fb.me/3lXrbxXNw"||||"841673828732403712"|https://twitter.com/turbofr/status/841673828732403712
|2017-03-14 16:26|3|9|"Ferrari 812 Superfast : la belle italienne fait ronronner son V12 en vidéo http:// bit.ly/2mJ3A4g"||||"841671776161693696"|https://twitter.com/turbofr/status/841671776161693696
|2017-03-14 15:12|2|4|"Concours : Avec les centres auto Roady, tentez de gagner votre GPS Garmin ! http:// bit.ly/2mIJl6E"||||"841653156203368449"|https://twitter.com/turbofr/status/841653156203368449
|2017-03-14 14:20|1|1|"La FIA s'entoure d'ambassadeurs prestigieux pour sa campagne de sécurité routière http:// bit.ly/2mIqPLW"||||"841640068204879877"|https://twitter.com/turbofr/status/841640068204879877
